"genus","condition","avg_abundance"
"Arthrobacter","b",0.104166666666667
"Asaia","a",0
"Asaia","b",0
"Asanoa","a",0.0333333333333333
"Asanoa","b",0
"Ascovirus","a",0.0666666666666667
"Ascovirus","b",0
"Asinibacterium","a",0
"Asinibacterium","b",0
"Asticcacaulis","a",0
"Asticcacaulis","b",0
"Atopobium","a",0.315151515151515
"Atopobium","b",0.257575757575758
"Atopococcus","a",0.8
"Atopococcus","b",0.266666666666667
"Aureimonas","a",0.025
"Aureimonas","b",0.00833333333333333
"Aureispira","a",0.0333333333333333
"Aureispira","b",0
"Austwickia","a",0.0666666666666667
"Austwickia","b",0.0666666666666667
"Avibacterium","a",0
"Avibacterium","b",0
"Azoarcus","a",0.0416666666666667
"Azoarcus","b",0.0166666666666667
"Azohydromonas","a",0.0666666666666667
"Azohydromonas","b",0.0333333333333333
"Azonexus","a",0.2
"Azonexus","b",0.133333333333333
"Azorhizobium","a",0.0666666666666667
"Azorhizobium","b",0
"Azospira","a",0.5
"Azospira","b",0.666666666666667
"Azospirillum","a",30.25
"Azospirillum","b",8.79166666666667
"Azotobacter","a",0.0833333333333333
"Azotobacter","b",0.05
"Azovibrio","a",0.1
"Azovibrio","b",0
"Bacillus","a",0.394569288389513
"Bacillus","b",0.320411985018727
"Bacteriovorax","a",0.0333333333333333
"Bacteriovorax","b",0.0666666666666667
"Bacteroides","a",92.9226190476191
"Bacteroides","b",59.5901785714286
"Badnavirus","a",0.0333333333333333
"Badnavirus","b",0.0333333333333333
"Balneola","a",0.266666666666667
"Balneola","b",0.4
"Barnesiella","a",67.5333333333333
"Barnesiella","b",43.1833333333333
"Bartonella","a",0.075
"Bartonella","b",0.0583333333333333
"Basfia","a",0.0333333333333333
"Basfia","b",0
"Batrachochytrium","a",0.0666666666666667
"Batrachochytrium","b",0.1
"Bavariicoccus","a",0.0333333333333333
"Bavariicoccus","b",0.0666666666666667
"Bc431virus","a",0.3
"Bc431virus","b",0.116666666666667
"Bdellovibrio","a",0.0666666666666667
"Bdellovibrio","b",0.1
"Beauveria","a",0.833333333333333
"Beauveria","b",0.766666666666667
"Beggiatoa","a",0.2
"Beggiatoa","b",0.233333333333333
"Bellilinea","a",0.1
"Bellilinea","b",0.1
"Bergeriella","a",0.133333333333333
"Bergeriella","b",0.0666666666666667
"Bergeyella","a",0.366666666666667
"Bergeyella","b",0.0666666666666667
"Betaentomopoxvirus","a",0
"Betaentomopoxvirus","b",0.0333333333333333
"Beutenbergia","a",0.0666666666666667
"Beutenbergia","b",0.0333333333333333
"Bhargavaea","a",0.333333333333333
"Bhargavaea","b",0.333333333333333
"Bibersteinia","a",0.566666666666667
"Bibersteinia","b",0.633333333333333
"Bifidobacterium","a",7.73023255813953
"Bifidobacterium","b",10.2891472868217
"Bilophila","a",526.766666666667
"Bilophila","b",470.166666666667
"Bizionia","a",0.0888888888888889
"Bizionia","b",0.0444444444444444
"Blastopirellula","a",0.1
"Blastopirellula","b",0.0333333333333333
"Blautia","a",100.278947368421
"Blautia","b",101.457894736842
"Bordetella","a",0.144444444444444
"Bordetella","b",0.144444444444444
"Bosea","a",0.193333333333333
"Bosea","b",0.133333333333333
"Brachymonas","a",0.133333333333333
"Brachymonas","b",0.0333333333333333
"Brachyspira","a",0.525925925925926
"Brachyspira","b",0.52962962962963
"Bracovirus","a",0.266666666666667
"Bracovirus","b",0
"Bradyrhizobium","a",0.144444444444444
"Bradyrhizobium","b",0.0555555555555556
"Brenneria","a",0.0666666666666667
"Brenneria","b",0
"Brevibacillus","a",0.588095238095238
"Brevibacillus","b",0.40952380952381
"Brevibacterium","a",0.0333333333333333
"Brevibacterium","b",0.0333333333333333
"Brevundimonas","a",0.0333333333333333
"Brevundimonas","b",0.0333333333333333
"Brochothrix","a",0.3
"Brochothrix","b",0.433333333333333
