"tax_asd","condition","patient_id","abundance"
"g__Fusobacterium;s__Fusobacterium mortiferum","b","28",12
"g__Fusobacterium;s__Fusobacterium mortiferum","b","94",4
"g__Fusobacterium;s__Fusobacterium mortiferum","b","99",1
"g__Fusobacterium;s__Fusobacterium mortiferum","b","103",1
"g__Fusobacterium;s__Fusobacterium mortiferum","b","111",2
"g__Fusobacterium;s__Fusobacterium mortiferum","b","114",2
"g__Fusobacterium;s__Fusobacterium mortiferum","b","115",1
"g__Fusobacterium;s__Fusobacterium mortiferum","b","120",1
"g__Fusobacterium;s__Fusobacterium mortiferum","b","127",2
"g__Fusobacterium;s__Fusobacterium mortiferum","b","141",1
"g__Fusobacterium;s__Fusobacterium mortiferum","b","156",1
"g__Fusobacterium;s__Fusobacterium mortiferum","b","158",1
"g__Fusobacterium;s__Fusobacterium mortiferum","b","164",2
"g__Clostridium;s__Clostridium sp. GD3","b","1",523
"g__Clostridium;s__Clostridium sp. GD3","b","2",124
"g__Clostridium;s__Clostridium sp. GD3","b","3",2176
"g__Clostridium;s__Clostridium sp. GD3","b","5",1911
"g__Clostridium;s__Clostridium sp. GD3","b","6",1513
"g__Clostridium;s__Clostridium sp. GD3","b","7",1215
"g__Clostridium;s__Clostridium sp. GD3","b","8",1547
"g__Clostridium;s__Clostridium sp. GD3","b","13",1249
"g__Clostridium;s__Clostridium sp. GD3","b","14",1449
"g__Clostridium;s__Clostridium sp. GD3","b","28",1930
"g__Clostridium;s__Clostridium sp. GD3","b","29",1773
"g__Clostridium;s__Clostridium sp. GD3","b","36",25
"g__Clostridium;s__Clostridium sp. GD3","b","37",111
"g__Clostridium;s__Clostridium sp. GD3","b","94",1828
"g__Clostridium;s__Clostridium sp. GD3","b","99",47
"g__Clostridium;s__Clostridium sp. GD3","b","103",1755
"g__Clostridium;s__Clostridium sp. GD3","b","106",1286
"g__Clostridium;s__Clostridium sp. GD3","b","111",302
"g__Clostridium;s__Clostridium sp. GD3","b","114",1307
"g__Clostridium;s__Clostridium sp. GD3","b","115",1938
"g__Clostridium;s__Clostridium sp. GD3","b","120",1140
"g__Clostridium;s__Clostridium sp. GD3","b","127",1518
"g__Clostridium;s__Clostridium sp. GD3","b","132",583
"g__Clostridium;s__Clostridium sp. GD3","b","141",1532
"g__Clostridium;s__Clostridium sp. GD3","b","142",1467
"g__Clostridium;s__Clostridium sp. GD3","b","143",1013
"g__Clostridium;s__Clostridium sp. GD3","b","152",321
"g__Clostridium;s__Clostridium sp. GD3","b","156",394
"g__Clostridium;s__Clostridium sp. GD3","b","158",71
"g__Clostridium;s__Clostridium sp. GD3","b","164",685
"g__Ruminococcus;s__Ruminococcus callidus","b","1",788
"g__Ruminococcus;s__Ruminococcus callidus","b","2",17
"g__Ruminococcus;s__Ruminococcus callidus","b","3",357
"g__Ruminococcus;s__Ruminococcus callidus","b","5",70
"g__Ruminococcus;s__Ruminococcus callidus","b","6",21
"g__Ruminococcus;s__Ruminococcus callidus","b","7",1456
"g__Ruminococcus;s__Ruminococcus callidus","b","8",10
"g__Ruminococcus;s__Ruminococcus callidus","b","13",384
"g__Ruminococcus;s__Ruminococcus callidus","b","14",5
"g__Ruminococcus;s__Ruminococcus callidus","b","28",14
"g__Ruminococcus;s__Ruminococcus callidus","b","29",20
"g__Ruminococcus;s__Ruminococcus callidus","b","36",23
"g__Ruminococcus;s__Ruminococcus callidus","b","37",27
"g__Ruminococcus;s__Ruminococcus callidus","b","94",17
"g__Ruminococcus;s__Ruminococcus callidus","b","99",54
"g__Ruminococcus;s__Ruminococcus callidus","b","103",2232
"g__Ruminococcus;s__Ruminococcus callidus","b","106",1317
