"genus","sample_id","abundance"
"Desulfovibrio","A114",157
"Desulfovibrio","A115",2105
"Desulfovibrio","A142",2434
"Desulfovibrio","A144",154
"Desulfovibrio","A149",12
"Desulfovibrio","A164",6
"Desulfovibrio","A165",2059
"Desulfovibrio","B1",3
"Desulfovibrio","B2",1
"Desulfovibrio","B3",3
"Desulfovibrio","B5",2
"Desulfovibrio","B7",8
"Desulfovibrio","B14",1
"Desulfovibrio","B28",154
"Desulfovibrio","B29",2
"Desulfovibrio","B36",143
"Desulfovibrio","B37",4
"Desulfovibrio","B94",2
"Desulfovibrio","B99",3
"Desulfovibrio","B103",144
"Desulfovibrio","B106",1
"Desulfovibrio","B111",5
"Desulfovibrio","B114",3
"Desulfovibrio","B115",5
"Desulfovibrio","B120",1
"Desulfovibrio","B127",2
"Desulfovibrio","B132",2
"Desulfovibrio","B141",3
"Desulfovibrio","B142",29
"Desulfovibrio","B143",3
"Desulfovibrio","B156",2
"Desulfovibrio","B158",1
"Desulfovibrio","B164",9
"Fusobacterium","A3",1
"Fusobacterium","A9",1
"Fusobacterium","A31",9
"Fusobacterium","A51",12
"Fusobacterium","A52",6
"Fusobacterium","A53",597
"Fusobacterium","A54",2
"Fusobacterium","A59",9
"Fusobacterium","A67",2
"Fusobacterium","A68",2
"Fusobacterium","A69",5
"Fusobacterium","A71",10
"Fusobacterium","A73",6
"Fusobacterium","A76",2017
"Fusobacterium","A78",3
"Fusobacterium","A87",6
"Fusobacterium","A89",4
"Fusobacterium","A93",4
"Fusobacterium","A101",7
"Fusobacterium","A109",8
"Fusobacterium","A113",7
"Fusobacterium","A114",290
"Fusobacterium","A115",5
"Fusobacterium","A142",1
"Fusobacterium","A144",21
"Fusobacterium","A149",4
"Fusobacterium","A164",83
"Fusobacterium","A165",2388
"Fusobacterium","B1",3
"Fusobacterium","B6",1
"Fusobacterium","B8",1
"Fusobacterium","B13",1
"Fusobacterium","B14",2091
"Fusobacterium","B28",12
"Fusobacterium","B94",4
"Fusobacterium","B99",1
"Fusobacterium","B103",1
"Fusobacterium","B111",2
"Fusobacterium","B114",2
"Fusobacterium","B115",1
"Fusobacterium","B120",1
"Fusobacterium","B127",2
"Fusobacterium","B141",1
"Fusobacterium","B156",1
"Fusobacterium","B158",1
"Fusobacterium","B164",2
"Clostridium","A3",1466
"Clostridium","A5",1412
"Clostridium","A6",937
"Clostridium","A9",2138
"Clostridium","A31",1256
"Clostridium","A51",84
"Clostridium","A52",74
"Clostridium","A53",1084
"Clostridium","A54",1449
"Clostridium","A59",1850
"Clostridium","A67",1482
"Clostridium","A68",148
"Clostridium","A69",2354
"Clostridium","A71",148
"Clostridium","A73",79
"Clostridium","A76",353
"Clostridium","A78",2057
"Clostridium","A87",85
"Clostridium","A89",1984
"Clostridium","A93",2238
"Clostridium","A101",109
"Clostridium","A109",46
"Clostridium","A113",1007
"Clostridium","A114",392
"Clostridium","A115",1437
"Clostridium","A142",554
"Clostridium","A144",662
"Clostridium","A149",1820
"Clostridium","A164",2302
"Clostridium","A165",957
"Clostridium","B1",523
"Clostridium","B2",124
"Clostridium","B3",2176
"Clostridium","B5",1911
"Clostridium","B6",1513
"Clostridium","B7",1215
"Clostridium","B8",1547
"Clostridium","B13",1249
"Clostridium","B14",1449
"Clostridium","B28",1930
"Clostridium","B29",1773
