"tax_td","condition","patient_id","abundance"
"g__Desulfovibrio;s__Desulfovibrio piger","a","165",2059
"g__Fusobacterium;s__Fusobacterium mortiferum","a","3",1
"g__Fusobacterium;s__Fusobacterium mortiferum","a","9",1
"g__Fusobacterium;s__Fusobacterium mortiferum","a","31",9
"g__Fusobacterium;s__Fusobacterium mortiferum","a","51",12
"g__Fusobacterium;s__Fusobacterium mortiferum","a","52",6
"g__Fusobacterium;s__Fusobacterium mortiferum","a","53",597
"g__Fusobacterium;s__Fusobacterium mortiferum","a","54",2
"g__Fusobacterium;s__Fusobacterium mortiferum","a","59",9
"g__Fusobacterium;s__Fusobacterium mortiferum","a","67",2
"g__Fusobacterium;s__Fusobacterium mortiferum","a","68",2
"g__Fusobacterium;s__Fusobacterium mortiferum","a","69",5
"g__Fusobacterium;s__Fusobacterium mortiferum","a","71",10
"g__Fusobacterium;s__Fusobacterium mortiferum","a","73",6
"g__Fusobacterium;s__Fusobacterium mortiferum","a","76",2017
"g__Fusobacterium;s__Fusobacterium mortiferum","a","78",3
"g__Fusobacterium;s__Fusobacterium mortiferum","a","87",6
"g__Fusobacterium;s__Fusobacterium mortiferum","a","89",4
"g__Fusobacterium;s__Fusobacterium mortiferum","a","93",4
"g__Fusobacterium;s__Fusobacterium mortiferum","a","101",7
"g__Fusobacterium;s__Fusobacterium mortiferum","a","109",8
"g__Fusobacterium;s__Fusobacterium mortiferum","a","113",7
"g__Fusobacterium;s__Fusobacterium mortiferum","a","114",290
"g__Fusobacterium;s__Fusobacterium mortiferum","a","115",5
"g__Fusobacterium;s__Fusobacterium mortiferum","a","142",1
"g__Fusobacterium;s__Fusobacterium mortiferum","a","144",21
"g__Fusobacterium;s__Fusobacterium mortiferum","a","149",4
"g__Fusobacterium;s__Fusobacterium mortiferum","a","164",83
"g__Fusobacterium;s__Fusobacterium mortiferum","a","165",2388
"g__Clostridium;s__Clostridium sp. GD3","a","3",1466
"g__Clostridium;s__Clostridium sp. GD3","a","5",1412
"g__Clostridium;s__Clostridium sp. GD3","a","6",937
"g__Clostridium;s__Clostridium sp. GD3","a","9",2138
"g__Clostridium;s__Clostridium sp. GD3","a","31",1256
"g__Clostridium;s__Clostridium sp. GD3","a","51",84
"g__Clostridium;s__Clostridium sp. GD3","a","52",74
"g__Clostridium;s__Clostridium sp. GD3","a","53",1084
"g__Clostridium;s__Clostridium sp. GD3","a","54",1449
"g__Clostridium;s__Clostridium sp. GD3","a","59",1850
"g__Clostridium;s__Clostridium sp. GD3","a","67",1482
"g__Clostridium;s__Clostridium sp. GD3","a","68",148
"g__Clostridium;s__Clostridium sp. GD3","a","69",2354
"g__Clostridium;s__Clostridium sp. GD3","a","71",148
"g__Clostridium;s__Clostridium sp. GD3","a","73",79
"g__Clostridium;s__Clostridium sp. GD3","a","76",353
"g__Clostridium;s__Clostridium sp. GD3","a","78",2057
"g__Clostridium;s__Clostridium sp. GD3","a","87",85
"g__Clostridium;s__Clostridium sp. GD3","a","89",1984
"g__Clostridium;s__Clostridium sp. GD3","a","93",2238
"g__Clostridium;s__Clostridium sp. GD3","a","101",109
"g__Clostridium;s__Clostridium sp. GD3","a","109",46
"g__Clostridium;s__Clostridium sp. GD3","a","113",1007
"g__Clostridium;s__Clostridium sp. GD3","a","114",392
"g__Clostridium;s__Clostridium sp. GD3","a","115",1437
"g__Clostridium;s__Clostridium sp. GD3","a","142",554
"g__Clostridium;s__Clostridium sp. GD3","a","144",662
"g__Clostridium;s__Clostridium sp. GD3","a","149",1820
"g__Clostridium;s__Clostridium sp. GD3","a","164",2302
"g__Clostridium;s__Clostridium sp. GD3","a","165",957
"g__Ruminococcus;s__Ruminococcus callidus","a","3",16
"g__Ruminococcus;s__Ruminococcus callidus","a","5",21
"g__Ruminococcus;s__Ruminococcus callidus","a","6",7
"g__Ruminococcus;s__Ruminococcus callidus","a","9",1359
"g__Ruminococcus;s__Ruminococcus callidus","a","31",180
"g__Ruminococcus;s__Ruminococcus callidus","a","51",67
"g__Ruminococcus;s__Ruminococcus callidus","a","52",67
"g__Ruminococcus;s__Ruminococcus callidus","a","53",1864
"g__Ruminococcus;s__Ruminococcus callidus","a","54",272
"g__Ruminococcus;s__Ruminococcus callidus","a","59",405
"g__Ruminococcus;s__Ruminococcus callidus","a","67",66
"g__Ruminococcus;s__Ruminococcus callidus","a","68",54
"g__Ruminococcus;s__Ruminococcus callidus","a","69",65
"g__Ruminococcus;s__Ruminococcus callidus","a","71",187
"g__Ruminococcus;s__Ruminococcus callidus","a","73",61
"g__Ruminococcus;s__Ruminococcus callidus","a","76",135
"g__Ruminococcus;s__Ruminococcus callidus","a","78",2288
"g__Ruminococcus;s__Ruminococcus callidus","a","87",17
"g__Ruminococcus;s__Ruminococcus callidus","a","89",980
"g__Ruminococcus;s__Ruminococcus callidus","a","93",1394
"g__Ruminococcus;s__Ruminococcus callidus","a","101",1925
"g__Ruminococcus;s__Ruminococcus callidus","a","109",68
"g__Ruminococcus;s__Ruminococcus callidus","a","113",2154
"g__Ruminococcus;s__Ruminococcus callidus","a","114",684
"g__Ruminococcus;s__Ruminococcus callidus","a","115",9
"g__Ruminococcus;s__Ruminococcus callidus","a","142",223
"g__Ruminococcus;s__Ruminococcus callidus","a","144",2182
